"Var1","Var2","Freq"
"Dirty Condition","11104",50
"Food Establishment","11104",314
"Illegal Parking","11104",167
"Noise - Commercial","11104",1501
"Noise - Street/Sidewalk","11104",1782
"Rodent","11104",763
"Dirty Condition","11105",60
"Food Establishment","11105",606
"Illegal Parking","11105",460
"Noise - Commercial","11105",3643
"Noise - Street/Sidewalk","11105",2916
"Rodent","11105",1294
"Dirty Condition","11106",64
"Food Establishment","11106",604
"Illegal Parking","11106",401
"Noise - Commercial","11106",5388
"Noise - Street/Sidewalk","11106",2522
"Rodent","11106",972
"Dirty Condition","11109",0
"Food Establishment","11109",16
"Illegal Parking","11109",33
"Noise - Commercial","11109",199
"Noise - Street/Sidewalk","11109",553
"Rodent","11109",21
"Dirty Condition","11201",154
"Food Establishment","11201",1579
"Illegal Parking","11201",743
"Noise - Commercial","11201",4341
"Noise - Street/Sidewalk","11201",5271
"Rodent","11201",1998
"Dirty Condition","11202",0
"Food Establishment","11202",0
"Illegal Parking","11202",0
"Noise - Commercial","11202",0
"Noise - Street/Sidewalk","11202",0
"Rodent","11202",1
"Dirty Condition","11203",158
"Food Establishment","11203",542
"Illegal Parking","11203",535
"Noise - Commercial","11203",2503
"Noise - Street/Sidewalk","11203",4594
"Rodent","11203",3398
"Dirty Condition","11204",128
"Food Establishment","11204",497
"Illegal Parking","11204",1865
"Noise - Commercial","11204",841
"Noise - Street/Sidewalk","11204",1594
"Rodent","11204",1304
"Dirty Condition","11205",192
"Food Establishment","11205",621
"Illegal Parking","11205",524
"Noise - Commercial","11205",5526
"Noise - Street/Sidewalk","11205",3716
"Rodent","11205",2986
"Dirty Condition","11206",223
"Food Establishment","11206",655
"Illegal Parking","11206",656
"Noise - Commercial","11206",10168
"Noise - Street/Sidewalk","11206",10377
"Rodent","11206",4093
"Dirty Condition","11207",304
"Food Establishment","11207",906
"Illegal Parking","11207",818
